Fecha,Dataset,Notes,lr,units,# layers,dropout,epochs,tiempoPromedio,auc1,auc2,auc3,aucTrain1,aucTrain2,aucTrain3,aucMean,aucTrainMean
2018-03-26 18:23:55,england-vs-all,,0.5,32,1,0.4,300,1490.89491,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,50,1493.403919,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,100,1497.6008789999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,150,1490.080626,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,200,1479.957035,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,250,1478.325732,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 01:52:03,england-vs-all,,0.5,32,1,0.6,300,1478.959869,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,50,1449.442349,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,100,1448.610945,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,150,1448.567516,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,200,1448.990644,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-03-27 09:08:57,england-vs-all,,0.5,32,1,0.8,250,1448.45751,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
